PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;man;10;13;9;12;11
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;vrouw;<5;0;<5;0;<5
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;man;5;7;0;10;6
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;vrouw;0;<5;0;<5;<5
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;vrouw;0;0;0;0;<5
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;7;6;9;9;10
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;18;18;23;20;16
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;man;6;<5;<5;8;8
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;vrouw;14;12;17;18;18
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;19;27;25;24;11
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;18;21;16;9;7
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;18;16;24;16;20
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;5;10;9;10;9
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;man;0;0;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;vrouw;<5;0;0;0;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;man;29;18;13;11;10
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;vrouw;9;6;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;hbo associate degree;man;<5;0;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;hbo associate degree;vrouw;<5;<5;6;5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;voltijd onderwijs;hbo associate degree;man;6;<5;0;5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80040;Ad Leisure & Events Management;voltijd onderwijs;hbo associate degree;vrouw;12;16;5;9;16
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;duaal onderwijs;hbo associate degree;man;0;0;0;<5;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;voltijd onderwijs;hbo associate degree;man;8;11;21;14;12
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80041;Ad Hotel Management;voltijd onderwijs;hbo associate degree;vrouw;32;27;39;26;31
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;man;13;10;9;23;10
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;vrouw;6;7;<5;8;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80115;Ad Logistiek en Economie;duaal onderwijs;hbo associate degree;man;7;7;11;10;6
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80115;Ad Logistiek en Economie;duaal onderwijs;hbo associate degree;vrouw;<5;0;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80137;Ad Service, Welzijn & Zorg;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80137;Ad Service, Welzijn & Zorg;voltijd onderwijs;hbo associate degree;man;0;0;0;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80137;Ad Service, Welzijn & Zorg;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;8;8
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;5;<5;6;8;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;24;21;27;25;28
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;duaal onderwijs;hbo bachelor;man;0;0;<5;0;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;hbo bachelor;man;13;8;16;14;16
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;hbo bachelor;vrouw;0;0;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;man;8;<5;5;<5;5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;man;5;5;6;9;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;vrouw;0;<5;0;<5;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;man;27;43;40;30;28
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;vrouw;<5;7;<5;5;<5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;hbo associate degree;man;<5;<5;0;<5;<5
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;hogere kaderopleiding pedagogiek;44113;M Pedagogiek;deeltijd onderwijs;hbo master;man;<5;<5;0;<5;<5
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;hogere kaderopleiding pedagogiek;44113;M Pedagogiek;deeltijd onderwijs;hbo master;vrouw;17;8;6;7;15
